voc_id,created_at,user_id,ad_type,ad_name,voc_content,log_matching,daily_query_cnt,actual_risk_level
SAMPLE-0058,2026-03-02 23:32:00,USER_4234,CPA,OO보험 상담 신청,리워드 안 들어왔어요 확인 부탁드려요.,Match,1,Low
SAMPLE-0059,2026-03-03 15:56:00,USER_4338,CPA,OO보험 상담 신청,참여 완료했는데 언제 적립되나요?,Match,3,Low
SAMPLE-0060,2026-03-06 07:19:00,USER_7858,CPA,OO게임 멀티미션,리워드 안 들어왔어요 확인 부탁드려요.,Mismatch,2,Low
SAMPLE-0061,2026-03-07 01:10:00,USER_5084,CPA,쇼핑 탭 상품 찾기,참여 완료했는데 언제 적립되나요?,No_Record,1,Low
SAMPLE-0062,2026-03-04 11:12:00,USER_9816,CPA,OO보험 상담 신청,리워드 안 들어왔어요 확인 부탁드려요.,Match,2,Low
SAMPLE-0063,2026-03-07 11:39:00,USER_5683,CPA,OO게임 멀티미션,참여 완료했는데 언제 적립되나요?,Match,2,Low
SAMPLE-0064,2026-03-02 14:14:00,USER_1898,CPA,OO보험 상담 신청,참여 완료했는데 언제 적립되나요?,Match,3,Low
SAMPLE-0065,2026-03-02 03:14:00,USER_2680,CPA,쇼핑 탭 상품 찾기,리워드 안 들어왔어요 확인 부탁드려요.,Mismatch,2,Low
SAMPLE-0066,2026-03-03 10:58:00,USER_6920,CPA,쇼핑 탭 상품 찾기,리워드 안 들어왔어요 확인 부탁드려요.,Match,2,Low
SAMPLE-0067,2026-03-06 20:44:00,USER_9219,CPA,네이버 지도 장소 찜하기,리워드 안 들어왔어요 확인 부탁드려요.,Match,2,Low
SAMPLE-0068,2026-03-05 11:53:00,USER_4897,CPA,네이버 지도 장소 찜하기,참여 완료했는데 언제 적립되나요?,Match,2,Low
SAMPLE-0069,2026-03-02 01:36:00,USER_5632,CPA,네이버 지도 장소 찜하기,참여 완료했는데 언제 적립되나요?,Match,3,Low
SAMPLE-0070,2026-03-05 02:17:00,USER_8092,CPA,OO보험 상담 신청,리워드 안 들어왔어요 확인 부탁드려요.,Mismatch,3,Low
SAMPLE-0071,2026-03-04 21:18:00,USER_4167,CPA,쇼핑 탭 상품 찾기,참여 완료했는데 언제 적립되나요?,Match,2,Low
SAMPLE-0072,2026-03-04 10:12:00,USER_3638,CPA,OO게임 멀티미션,참여 완료했는데 언제 적립되나요?,Match,3,Low
SAMPLE-0073,2026-03-06 03:00:00,USER_3424,CPA,인스타그램 팔로우,참여 완료했는데 언제 적립되나요?,No_Record,1,Low
SAMPLE-0074,2026-03-04 05:36:00,USER_4652,CPA,쇼핑 탭 상품 찾기,참여 완료했는데 언제 적립되나요?,Match,1,Low
SAMPLE-0075,2026-03-06 00:06:00,USER_4380,CPA,네이버 지도 장소 찜하기,리워드 안 들어왔어요 확인 부탁드려요.,Match,3,Low
SAMPLE-0076,2026-03-06 20:26:00,USER_2087,CPA,OO보험 상담 신청,참여 완료했는데 언제 적립되나요?,Match,1,Low
SAMPLE-0077,2026-03-07 13:18:00,USER_2850,CPA,네이버 지도 장소 찜하기,리워드 안 들어왔어요 확인 부탁드려요.,No_Record,1,Low
SAMPLE-0078,2026-03-06 12:19:00,USER_3946,CPA,쇼핑 탭 상품 찾기,참여 완료했는데 언제 적립되나요?,Match,2,Low
SAMPLE-0079,2026-03-07 20:37:00,USER_9499,CPA,인스타그램 팔로우,리워드 안 들어왔어요 확인 부탁드려요.,Match,2,Low
SAMPLE-0080,2026-03-07 10:51:00,USER_4463,CPA,네이버 지도 장소 찜하기,참여 완료했는데 언제 적립되나요?,Match,2,Low
SAMPLE-0081,2026-03-07 12:54:00,USER_1952,CPA,쇼핑 탭 상품 찾기,리워드 안 들어왔어요 확인 부탁드려요.,Match,3,Low
SAMPLE-0082,2026-03-02 08:16:00,USER_3457,CPA,인스타그램 팔로우,참여 완료했는데 언제 적립되나요?,Match,1,Low
SAMPLE-0083,2026-03-02 13:09:00,USER_3771,CPA,OO게임 멀티미션,참여 완료했는데 언제 적립되나요?,Match,1,Low
SAMPLE-0084,2026-03-07 04:14:00,USER_8375,CPA,OO게임 멀티미션,참여 완료했는데 언제 적립되나요?,No_Record,3,Low
SAMPLE-0085,2026-03-01 15:30:00,USER_5522,CPA,네이버 지도 장소 찜하기,참여 완료했는데 언제 적립되나요?,Match,2,Low
SAMPLE-0086,2026-03-01 12:58:00,USER_3008,CPA,OO보험 상담 신청,10레벨은 들어왔는데 20레벨부터 기록이 안 떠요. 트래킹 오류 확인 바람.,Mismatch,2,Medium
SAMPLE-0087,2026-03-06 18:25:00,USER_3294,CPA,OO보험 상담 신청,10레벨은 들어왔는데 20레벨부터 기록이 안 떠요. 트래킹 오류 확인 바람.,Match,3,Medium
SAMPLE-0088,2026-03-06 14:30:00,USER_4653,CPA,네이버 지도 장소 찜하기,10레벨은 들어왔는데 20레벨부터 기록이 안 떠요. 트래킹 오류 확인 바람.,Match,2,Medium
SAMPLE-0089,2026-03-06 17:41:00,USER_9157,CPA,네이버 지도 장소 찜하기,10레벨은 들어왔는데 20레벨부터 기록이 안 떠요. 트래킹 오류 확인 바람.,Match,1,Medium
SAMPLE-0090,2026-03-07 15:36:00,USER_1803,CPA,OO보험 상담 신청,참여하기 눌러도 페이지가 안 넘어가요. 화면 백화 현상 있음.,Match,1,Medium
SAMPLE-0091,2026-03-05 11:11:00,USER_9477,CPA,네이버 지도 장소 찜하기,10레벨은 들어왔는데 20레벨부터 기록이 안 떠요. 트래킹 오류 확인 바람.,Mismatch,2,Medium
SAMPLE-0092,2026-03-03 13:28:00,USER_3667,CPA,쇼핑 탭 상품 찾기,참여하기 눌러도 페이지가 안 넘어가요. 화면 백화 현상 있음.,Match,3,Medium
SAMPLE-0093,2026-03-04 10:31:00,USER_9711,CPA,OO게임 멀티미션,10레벨은 들어왔는데 20레벨부터 기록이 안 떠요. 트래킹 오류 확인 바람.,Match,2,Medium
SAMPLE-0094,2026-03-03 08:46:00,USER_8515,CPA,네이버 지도 장소 찜하기,참여하기 눌러도 페이지가 안 넘어가요. 화면 백화 현상 있음.,Match,3,Medium
SAMPLE-0095,2026-03-04 02:24:00,USER_2744,CPA,인스타그램 팔로우,10레벨은 들어왔는데 20레벨부터 기록이 안 떠요. 트래킹 오류 확인 바람.,Match,3,Medium
SAMPLE-0096,2026-03-07 16:24:00,USER_5708,CPA,OO보험 상담 신청,참여하기 눌러도 페이지가 안 넘어가요. 화면 백화 현상 있음.,Match,3,Medium
SAMPLE-0097,2026-03-01 18:08:00,USER_8739,CPA,OO보험 상담 신청,10레벨은 들어왔는데 20레벨부터 기록이 안 떠요. 트래킹 오류 확인 바람.,Mismatch,1,Medium
SAMPLE-0098,2026-03-03 05:48:00,USER_9922,CPA,쇼핑 탭 상품 찾기,10레벨은 들어왔는데 20레벨부터 기록이 안 떠요. 트래킹 오류 확인 바람.,Mismatch,3,Medium
SAMPLE-0099,2026-03-01 10:55:00,USER_2923,CPA,OO보험 상담 신청,10레벨은 들어왔는데 20레벨부터 기록이 안 떠요. 트래킹 오류 확인 바람.,Match,2,Medium
