voc_id,created_at,user_id,publisher,ad_type,ad_name,category,voc_content,log_matching,daily_query_cnt,actual_risk_level
VOC-2BDA1B9B,2025-06-21 17:33,U617904,캐시워크,CPE,가입 후 튜토리얼 완료,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,2,Low
VOC-055B20CF,2025-06-24 07:03,U356355,KB국민은행,CPA,쇼핑 정답 입력하기,리워드미지급,게임 레벨 달성 증빙 첨부합니다. 트래커에 안 보인다고 하셨는데 이건 시스템 문제 아닌가요?,No_Record,18,Grey
VOC-13E6AD48,2025-06-28 21:58,U731977,OK캐쉬백,CPA,라이브커머스 시청,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,3,Low
VOC-AF002D00,2025-06-13 14:55,U495833,신한SOL,CPA,라이브커머스 시청,리워드미지급,앱 설치하고 실행까지 했는데 트래킹이 안 잡히는 것 같아요.,No_Record,7,Medium
VOC-689C2006,2025-06-02 00:13,U416061,포인트타운,CPA,앱 설치+실행,리워드미지급,미션 완료했는데 포인트 반영이 안 돼요.,Match,2,Low
VOC-614DAEDA,2025-06-02 06:56,U143941,네이버페이,CPA,멀티미션 완료,리워드미지급,멀티미션 완료 광고 참여했는데 리워드가 안 들어왔어요.,Match,2,Low
VOC-F719FC8C,2025-06-12 03:59,U691240,신한SOL,CPA,앱 설치+실행,리워드미지급,미친 거 아냐? 변호사 선임 완료했습니다. 미지급 리워드 건으로 소송 진행합니다.,No_Record,13,Critical
VOC-5D8AE93B,2025-06-23 01:10,U560959,KB국민은행,CPA,라이브커머스 시청,기타,리워드 지급 기준이 어떻게 되나요?,Match,2,Low
VOC-7BFADF7F,2025-06-28 07:55,U205907,KB국민은행,CPA,앱 설치+실행,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,1,Low
VOC-8FC1BE0A,2025-06-07 12:54,U606680,KB국민은행,CPC,뉴스 기사 클릭,리워드미지급,리워드 미적립 문의드립니다. 뉴스 기사 클릭 참여 완료했습니다.,No_Record,2,Low
VOC-293EBAF4,2025-06-22 13:55,U856086,네이버페이,CPA,쇼핑 정답 입력하기,기타,리워드 지급 기준이 어떻게 되나요?,No_Record,2,Low
VOC-F051ED5D,2025-06-05 18:14,U644676,캐시워크,CPA,플레이스 검색+저장하기,리워드미지급,플레이스 검색+저장하기 리워드 안 들어와서 문의드립니다. 제 친구도 같은 내용으로 문의했대요.,No_Record,28,Grey
VOC-131C5CB9,2025-06-28 22:56,U694316,카카오뱅크,CPM,영상 노출 리워드,기타,앱이 자꾸 튕겨요. 여러 기기에서 동일 증상입니다.,No_Record,7,Medium
VOC-8A19E4A3,2025-06-16 05:58,U668471,포인트타운,CPA,게임 레벨 달성,리워드미지급,화면이 하얗게 되면서 미션 완료가 안 됐는데 리워드도 안 들어왔어요.,Match,2,Medium
VOC-1211F3CB,2025-06-02 09:23,U934794,포인트타운,CPA,저장하고 링크 입력하기,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,Match,1,Low
VOC-D59915D0,2025-06-22 05:59,U876459,토스,CPA,플레이스 검색+저장하기,리워드미지급,하루에 15건 이상 문의하는 게 이상하다고요? 진짜 다 참여한 건데 왜 안 되는지 모르겠어요.,Match,30,Grey
VOC-EE0438A5,2025-06-22 06:25,U444207,카카오뱅크,CPA,서비스 가입,광고참여불가,서비스 가입 광고가 안 뜨는데 확인 부탁드립니다.,Match,2,Low
VOC-C6E096C2,2025-06-07 09:22,U918771,네이버페이,CPA,서비스 가입,기타,포인트 사용 방법이 궁금합니다.,Match,1,Low
VOC-96EAE810,2025-06-14 06:44,U238320,OK캐쉬백,CPA,멀티미션 완료,광고참여불가,다른 계정으로도 해봤는데 같은 광고가 안 되네요. 왜 그런 건가요?,No_Record,20,Grey
VOC-16B39198,2025-06-07 10:41,U182911,허니스크린,CPC,배너 클릭 리워드,리워드미지급,배너 클릭 리워드 미션 중간에 앱이 꺼졌는데 이후 단계 리워드가 누락됐습니다.,No_Record,6,Medium
VOC-7D7D3F55,2025-06-13 21:32,U837733,리브메이트,CPA,쇼핑 정답 입력하기,리워드미지급,쇼핑 정답 입력하기 미션 중간에 앱이 꺼졌는데 이후 단계 리워드가 누락됐습니다.,No_Record,7,Medium
VOC-D6DEAE3C,2025-06-23 09:44,U576086,토스,CPA,멀티미션 완료,리워드미지급,ㅆㅂ 뭐하는 회사야 광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,3,Low
VOC-AE3AE7A0,2025-06-25 05:04,U635280,리브메이트,CPA,서비스 가입,리워드미지급,어제 참여한 서비스 가입 리워드가 아직 안 들어왔어요.,Match,1,Low
VOC-02404E65,2025-06-24 19:21,U983456,포인트타운,CPA,게임 레벨 달성,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,Match,1,Low
VOC-F6084503,2025-06-19 03:17,U912764,네이버페이,CPA,멀티미션 완료,리워드미지급,"리워드 안 들어왔어요
김철수
010-2222-2222",Match,15,Grey
VOC-83F07841,2025-06-17 03:24,U704596,카카오뱅크,CPA,SNS 팔로우,리워드미지급,미션 완료했는데 포인트 반영이 안 돼요.,Match,1,Low
VOC-7108B074,2025-06-03 16:28,U947975,토스,CPA,앱 설치+실행,리워드미지급,다른 사람들도 같은 문제 겪고 있다는데 앱 설치+실행 광고 오류 확인 부탁합니다.,Match,5,Medium
VOC-A3988107,2025-06-04 03:15,U663658,KB국민은행,CPA,플레이스 검색+저장하기,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,3,Low
VOC-BD001D50,2025-06-08 03:22,U986438,카카오뱅크,CPA,앱 설치+실행,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,Match,3,Low
VOC-153B0115,2025-06-24 04:59,U348237,캐시워크,CPA,SNS 팔로우,리워드미지급,미션 완료했는데 포인트 반영이 안 돼요.,Match,1,Low
VOC-1F436AE8,2025-06-10 11:23,U551607,신한SOL,CPE,앱 이벤트 달성,리워드미지급,어제 참여한 앱 이벤트 달성 리워드가 아직 안 들어왔어요.,Match,3,Low
VOC-CF3F9055,2025-06-28 00:50,U834435,리브메이트,CPA,서비스 가입,리워드미지급,"리워드 안 들어왔어요
김철수
010-2222-2222",No_Record,24,Grey
VOC-A46B92B2,2025-06-30 02:59,U595002,KB국민은행,CPA,쇼핑 정답 입력하기,리워드미지급,같은 광고를 여러 번 시도해도 계속 참여 완료가 안 됩니다. 시스템 문제 아닌가요?,No_Record,8,Medium
VOC-EEDE9B40,2025-06-03 18:08,U655178,네이버페이,CPA,SNS 팔로우,리워드미지급,어제 참여한 SNS 팔로우 리워드가 아직 안 들어왔어요.,Match,1,Low
VOC-ADC3A070,2025-06-05 11:32,U688933,토스,CPA,SNS 팔로우,리워드미지급,어제 참여한 SNS 팔로우 리워드가 아직 안 들어왔어요.,Match,1,Low
VOC-60102B9E,2025-06-01 01:30,U988456,카카오뱅크,CPA,플레이스 검색+저장하기,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,3,Low
VOC-BB2CC13D,2025-06-21 05:03,U515594,리브메이트,CPA,쇼핑 정답 입력하기,리워드미지급,하루에 15건 이상 문의하는 게 이상하다고요? 진짜 다 참여한 건데 왜 안 되는지 모르겠어요.,No_Record,14,Grey
VOC-AB7BD079,2025-06-05 21:33,U331780,네이버페이,CPA,SNS 팔로우,리워드미지급,화면이 하얗게 되면서 미션 완료가 안 됐는데 리워드도 안 들어왔어요.,No_Record,6,Medium
VOC-AFA3826C,2025-06-05 03:37,U865470,KB국민은행,CPA,앱 설치+실행,리워드미지급,스크린샷 보내드립니다. 분명 완료했는데 로그에 안 잡힌다니 이해가 안 됩니다.,No_Record,27,Grey
VOC-BEAAECD4,2025-06-06 11:44,U248225,KB국민은행,CPA,쇼핑 정답 입력하기,리워드미지급,쇼핑 정답 입력하기 리워드 안 들어와서 문의드립니다. 제 친구도 같은 내용으로 문의했대요.,Match,27,Grey
VOC-D95460AC,2025-06-19 07:45,U250551,카카오뱅크,CPS,브랜드 체험단,리워드미지급,브랜드 체험단 광고 참여했는데 리워드가 안 들어왔어요.,No_Record,2,Low
VOC-5D06E454,2025-06-27 20:14,U171269,캐시워크,CPA,플레이스 검색+저장하기,광고참여불가,특정 광고(플레이스 검색+저장하기)만 계속 화면이 하얗게 되면서 참여가 안 돼요.,Match,6,Medium
VOC-5868504F,2025-06-07 13:42,U497562,캐시워크,CPA,라이브커머스 시청,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,No_Record,3,Low
VOC-B1038C26,2025-06-28 14:35,U884417,카카오뱅크,CPA,게임 레벨 달성,리워드미지급,매일 같은 미션 20건 넘게 참여하는데 절반은 적립 안 됩니다. 확인해주세요.,No_Record,23,Grey
VOC-B0801841,2025-06-28 18:26,U483162,토스,CPM,배너 노출,리워드미지급,하루에 15건 이상 문의하는 게 이상하다고요? 진짜 다 참여한 건데 왜 안 되는지 모르겠어요.,No_Record,19,Grey
VOC-34E734A3,2025-06-21 22:56,U896290,신한SOL,CPA,SNS 팔로우,리워드미지급,미션 완료했는데 포인트 반영이 안 돼요.,Match,3,Low
VOC-91678E31,2025-06-28 19:27,U322086,포인트타운,CPA,저장하고 링크 입력하기,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,Match,2,Low
VOC-AA3C3DA3,2025-06-06 22:49,U755087,캐시워크,CPA,게임 레벨 달성,리워드미지급,미션 완료했는데 포인트 반영이 안 돼요.,Match,1,Low
VOC-EA00FE5B,2025-06-04 22:07,U994217,리브메이트,CPA,멀티미션 완료,기타,참여 내역 확인은 어디서 하나요?,Match,2,Low
VOC-42243C33,2025-06-24 03:43,U876646,캐시워크,CPA,서비스 가입,리워드미지급,서비스 가입 완료했는데 리워드 누락된 것 같아요. 확인 부탁드립니다.,No_Record,2,Low
VOC-0BDD27A5,2025-06-30 12:05,U678856,신한SOL,CPA,플레이스 검색+저장하기,광고참여불가,광고 버튼을 눌러도 아무 반응이 없어요.,Match,3,Low
VOC-8FB1ECB9,2025-06-20 01:55,U176319,신한SOL,CPA,서비스 가입,리워드미지급,서비스 가입 미션 중간에 앱이 꺼졌는데 이후 단계 리워드가 누락됐습니다.,Match,3,Medium
VOC-A8B5EB1F,2025-06-24 17:42,U853305,토스,CPA,멀티미션 완료,기타,리워드 지급 기준이 어떻게 되나요?,Match,1,Low
VOC-B1BE6E32,2025-06-22 07:25,U225710,포인트타운,CPA,게임 레벨 달성,기타,포인트 사용 방법이 궁금합니다.,No_Record,3,Low
VOC-D47E786D,2025-06-27 22:56,U110060,포인트타운,CPA,앱 설치+실행,리워드미지급,"리워드 안 들어왔어요
김철수
010-2222-2222",No_Record,24,Grey
VOC-D295C62C,2025-06-19 09:05,U360247,KB국민은행,CPA,플레이스 검색+저장하기,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,No_Record,3,Low
VOC-A317442A,2025-06-14 20:31,U780714,신한SOL,CPA,게임 레벨 달성,리워드미지급,참여 완료 캡처본 있는데 시스템에서는 미참여라고 뜹니다. 기록 확인해주세요.,Match,30,Grey
VOC-E9F07BAD,2025-06-05 05:48,U747850,카카오뱅크,CPA,SNS 팔로우,리워드미지급,리워드 지급이 아직 안 됐는데 확인 부탁드립니다.,Match,2,Low
VOC-EA9B1441,2025-06-01 03:49,U545798,신한SOL,CPA,앱 설치+실행,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,Match,1,Low
VOC-3F9673EB,2025-06-03 14:51,U997546,카카오뱅크,CPA,멀티미션 완료,리워드미지급,멀티미션 완료 완료했는데 리워드 누락된 것 같아요. 확인 부탁드립니다.,Match,1,Low
VOC-FD1FEB58,2025-06-10 08:14,U226516,OK캐쉬백,CPA,SNS 팔로우,기타,참여 내역 확인은 어디서 하나요?,Match,3,Low
VOC-AB84C76C,2025-06-22 17:24,U513697,캐시워크,CPE,가입 후 튜토리얼 완료,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,1,Low
VOC-E34BC6B6,2025-06-08 08:21,U435239,캐시워크,CPA,멀티미션 완료,리워드미지급,리워드 지급이 아직 안 됐는데 확인 부탁드립니다.,Match,1,Low
VOC-26714F3B,2025-06-04 23:00,U150486,KB국민은행,CPA,쇼핑 정답 입력하기,리워드미지급,하루에 15건 이상 문의하는 게 이상하다고요? 진짜 다 참여한 건데 왜 안 되는지 모르겠어요.,No_Record,12,Grey
VOC-4F2A362E,2025-06-24 10:51,U214576,토스,CPI,앱 설치 리워드,리워드미지급,리워드 지급이 아직 안 됐는데 확인 부탁드립니다.,Match,2,Low
VOC-6F3F85BE,2025-06-24 17:16,U792687,토스,CPM,배너 노출,리워드미지급,"리워드 안 들어왔어요
김철수
010-2222-2222",No_Record,16,Grey
VOC-258BC4F9,2025-06-08 21:46,U807166,허니스크린,CPS,브랜드 체험단,광고참여불가,브랜드 체험단 광고가 안 뜨는데 확인 부탁드립니다.,Match,2,Low
VOC-244D9035,2025-06-01 06:59,U299254,포인트타운,CPI,신규 앱 체험,리워드미지급,앱 설치하고 실행까지 했는데 트래킹이 안 잡히는 것 같아요.,Match,3,Medium
VOC-DEF277E3,2025-06-28 02:28,U281043,OK캐쉬백,CPA,멀티미션 완료,기타,포인트 사용 방법이 궁금합니다.,Match,3,Low
VOC-E744B380,2025-06-23 09:44,U522060,허니스크린,CPA,서비스 가입,리워드미지급,리워드 미적립 문의드립니다. 서비스 가입 참여 완료했습니다.,Match,1,Low
VOC-813E9A8C,2025-06-14 02:18,U963918,리브메이트,CPA,멀티미션 완료,리워드미지급,진짜 ㅅㅂ 참여 완료 캡처본 있는데 시스템에서는 미참여라고 뜹니다. 기록 확인해주세요.,No_Record,10,Grey
VOC-B48C8683,2025-06-28 10:36,U550137,KB국민은행,CPA,플레이스 검색+저장하기,광고참여불가,광고 버튼을 눌러도 아무 반응이 없어요.,Match,1,Low
VOC-DE61C440,2025-06-25 01:08,U628373,포인트타운,CPA,저장하고 링크 입력하기,리워드미지급,화면이 하얗게 되면서 미션 완료가 안 됐는데 리워드도 안 들어왔어요.,Match,4,Medium
VOC-8774232C,2025-06-19 03:04,U663750,네이버페이,CPA,쇼핑 정답 입력하기,리워드미지급,쇼핑 정답 입력하기 광고 참여했는데 리워드가 안 들어왔어요.,Match,2,Low
VOC-8292F781,2025-06-25 12:32,U653081,토스,CPA,멀티미션 완료,광고참여불가,광고 버튼을 눌러도 아무 반응이 없어요.,Match,3,Low
VOC-1FE4EB91,2025-06-10 09:45,U317346,OK캐쉬백,CPC,뉴스 기사 클릭,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,2,Low
VOC-54BE1858,2025-06-05 02:30,U919488,허니스크린,CPA,게임 레벨 달성,광고참여불가,광고 버튼을 눌러도 아무 반응이 없어요.,No_Record,3,Low
VOC-758BEBE2,2025-06-01 12:21,U982495,OK캐쉬백,CPA,앱 설치+실행,리워드미지급,ㅆㅂ 뭐하는 회사야 벌써 세 번째 문의인데 아직도 해결이 안 되고 있어요. 소비자보호원에 민원 넣겠습니다.,Match,8,High
VOC-6354E0A8,2025-06-20 15:55,U989587,캐시워크,CPA,앱 설치+실행,리워드미지급,미션 완료했는데 포인트 반영이 안 돼요.,Match,3,Low
VOC-DDF869E9,2025-06-12 14:02,U862120,OK캐쉬백,CPA,라이브커머스 시청,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,No_Record,2,Low
VOC-BC9FC94E,2025-06-13 10:11,U620306,OK캐쉬백,CPA,라이브커머스 시청,리워드미지급,리워드 미적립 문의드립니다. 라이브커머스 시청 참여 완료했습니다.,Match,2,Low
VOC-893B7EDC,2025-06-30 02:41,U702022,카카오뱅크,CPC,뉴스 기사 클릭,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,2,Low
VOC-8F36C1EF,2025-06-02 10:04,U639131,KB국민은행,CPA,플레이스 검색+저장하기,리워드미지급,플레이스 검색+저장하기 완료했는데 리워드 누락된 것 같아요. 확인 부탁드립니다.,Match,3,Low
VOC-0A2C6E0E,2025-06-16 08:46,U718226,허니스크린,CPA,게임 레벨 달성,리워드미지급,게임 레벨 달성 완료했는데 리워드 누락된 것 같아요. 확인 부탁드립니다.,Match,1,Low
VOC-69164AF4,2025-06-28 11:04,U491738,리브메이트,CPA,게임 레벨 달성,리워드미지급,스크린샷 보내드립니다. 분명 완료했는데 로그에 안 잡힌다니 이해가 안 됩니다.,No_Record,1,Grey
VOC-B9B895EE,2025-06-08 14:35,U251668,신한SOL,CPA,라이브커머스 시청,리워드미지급,리워드 미적립 문의드립니다. 라이브커머스 시청 참여 완료했습니다.,Match,3,Low
VOC-DE4C6C23,2025-06-01 15:06,U409783,카카오뱅크,CPA,저장하고 링크 입력하기,리워드미지급,참여 완료 캡처본 있는데 시스템에서는 미참여라고 뜹니다. 기록 확인해주세요.,No_Record,28,Grey
VOC-71D86FB7,2025-06-05 14:11,U152727,네이버페이,CPE,앱 이벤트 달성,리워드미지급,리워드 지급이 아직 안 됐는데 확인 부탁드립니다.,Match,2,Low
VOC-73A9A940,2025-06-01 11:19,U289019,허니스크린,CPE,앱 이벤트 달성,리워드미지급,미션 완료했는데 포인트 반영이 안 돼요.,Match,1,Low
VOC-4206017C,2025-06-14 05:46,U647091,허니스크린,CPA,SNS 팔로우,광고참여불가,광고 버튼을 눌러도 아무 반응이 없어요.,No_Record,3,Low
VOC-BC760A77,2025-06-20 02:29,U534572,리브메이트,CPA,플레이스 검색+저장하기,광고참여불가,플레이스 검색+저장하기 광고가 안 뜨는데 확인 부탁드립니다.,Match,3,Low
VOC-6590388E,2025-06-17 12:32,U142210,토스,CPA,SNS 팔로우,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,Match,2,Low
VOC-88B34070,2025-06-18 15:15,U990598,토스,CPA,서비스 가입,리워드미지급,서비스 가입 미션 중간에 앱이 꺼졌는데 이후 단계 리워드가 누락됐습니다.,Match,2,Medium
VOC-32E61277,2025-06-26 07:31,U504630,KB국민은행,CPA,라이브커머스 시청,리워드미지급,게임 레벨 달성 증빙 첨부합니다. 트래커에 안 보인다고 하셨는데 이건 시스템 문제 아닌가요?,Match,19,Grey
VOC-CC5E88DB,2025-06-19 11:07,U626428,캐시워크,CPE,가입 후 튜토리얼 완료,리워드미지급,게임 레벨 달성 증빙 첨부합니다. 트래커에 안 보인다고 하셨는데 이건 시스템 문제 아닌가요?,No_Record,13,Grey
VOC-5D270C7D,2025-06-06 17:49,U656116,허니스크린,CPA,앱 설치+실행,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,Match,1,Low
VOC-95299E82,2025-06-25 12:23,U147440,신한SOL,CPA,게임 레벨 달성,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,1,Low
VOC-440DDEC9,2025-06-24 15:28,U371782,리브메이트,CPA,저장하고 링크 입력하기,광고참여불가,광고 버튼을 눌러도 아무 반응이 없어요.,Match,3,Low
VOC-0D7F3D86,2025-06-18 15:03,U461145,허니스크린,CPI,앱 설치 리워드,광고참여불가,광고 참여 버튼이 비활성화되어 있어서 참여 자체가 불가합니다.,Match,4,Medium
VOC-AD298E67,2025-06-21 05:02,U359778,OK캐쉬백,CPA,SNS 팔로우,기타,참여 내역 확인은 어디서 하나요?,Match,3,Low
VOC-46C2EE43,2025-06-27 07:21,U911984,신한SOL,CPA,저장하고 링크 입력하기,리워드미지급,저장하고 링크 입력하기 완료했는데 리워드 누락된 것 같아요. 확인 부탁드립니다.,Match,2,Low
VOC-9D4BAC0A,2025-06-03 22:42,U770147,OK캐쉬백,CPA,SNS 팔로우,리워드미지급,참여 완료 캡처본 있는데 시스템에서는 미참여라고 뜹니다. 기록 확인해주세요.,No_Record,11,Grey
VOC-FF3EC963,2025-06-17 17:32,U924613,포인트타운,CPA,쇼핑 정답 입력하기,리워드미지급,어제 참여한 쇼핑 정답 입력하기 리워드가 아직 안 들어왔어요.,Match,2,Low
VOC-385A8225,2025-06-09 10:58,U862422,포인트타운,CPA,앱 설치+실행,리워드미지급,참여 완료 캡처본 있는데 시스템에서는 미참여라고 뜹니다. 기록 확인해주세요.,No_Record,34,Grey
VOC-4FE780A1,2025-06-24 07:53,U103642,OK캐쉬백,CPA,저장하고 링크 입력하기,광고참여불가,저장하고 링크 입력하기 클릭하면 무한 로딩만 되고 페이지가 안 열립니다.,Match,7,Medium
VOC-2E99A37D,2025-06-08 06:51,U873443,네이버페이,CPS,브랜드 체험단,리워드미지급,스크린샷 보내드립니다. 분명 완료했는데 로그에 안 잡힌다니 이해가 안 됩니다.,Match,6,Grey
VOC-886B275A,2025-06-16 19:56,U983791,OK캐쉬백,CPA,SNS 팔로우,리워드미지급,SNS 팔로우 광고 참여했는데 리워드가 안 들어왔어요.,Match,3,Low
VOC-60C81577,2025-06-05 08:02,U157174,토스,CPA,서비스 가입,리워드미지급,서비스 가입 광고 참여했는데 리워드가 안 들어왔어요.,Match,1,Low
VOC-66BCDEB5,2025-06-15 18:15,U831105,카카오뱅크,CPA,쇼핑 정답 입력하기,리워드미지급,앱 설치하고 실행까지 했는데 트래킹이 안 잡히는 것 같아요.,No_Record,2,Medium
VOC-9D110A87,2025-06-14 18:38,U786508,KB국민은행,CPA,플레이스 검색+저장하기,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,3,Low
VOC-0DDEC241,2025-06-11 12:48,U875679,카카오뱅크,CPA,라이브커머스 시청,리워드미지급,지금 당장 해결 안 해주면 각종 커뮤니티에 다 올릴 겁니다. 라이브커머스 시청 리워드 즉시 지급해주세요.,Match,3,High
VOC-4CBE313C,2025-06-18 14:26,U156837,네이버페이,CPA,라이브커머스 시청,리워드미지급,라이브커머스 시청 광고 참여했는데 리워드가 안 들어왔어요.,No_Record,2,Low
VOC-F469B742,2025-06-18 22:14,U624563,네이버페이,CPA,라이브커머스 시청,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,Match,2,Low
VOC-52C7888A,2025-06-15 09:43,U673149,KB국민은행,CPA,서비스 가입,리워드미지급,서비스 가입 광고 참여했는데 리워드가 안 들어왔어요.,Match,3,Low
VOC-59771BEA,2025-06-12 02:22,U352838,리브메이트,CPA,SNS 팔로우,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,3,Low
VOC-EDF4436C,2025-06-02 01:37,U599948,신한SOL,CPA,저장하고 링크 입력하기,기타,포인트 사용 방법이 궁금합니다.,Match,1,Low
VOC-B3B5C218,2025-06-21 08:45,U295243,네이버페이,CPS,브랜드 체험단,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,Match,3,Low
VOC-77139545,2025-06-08 01:36,U834549,카카오뱅크,CPA,라이브커머스 시청,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,Match,2,Low
VOC-092EC96B,2025-06-22 08:37,U499534,OK캐쉬백,CPA,멀티미션 완료,리워드미지급,어제 참여한 멀티미션 완료 리워드가 아직 안 들어왔어요.,Match,3,Low
VOC-F405DE02,2025-06-23 09:08,U286340,리브메이트,CPA,게임 레벨 달성,리워드미지급,"리워드 안 들어왔어요
홍길동
010-0000-0000",Match,10,Grey
VOC-EC760BC8,2025-06-14 20:10,U736818,캐시워크,CPM,배너 노출,광고참여불가,여러 기기에서 시도했는데 이 광고만 계속 안 됩니다. VPN은 안 쓰고 있어요.,No_Record,22,Grey
VOC-DC3A2F55,2025-06-12 07:40,U299367,리브메이트,CPE,가입 후 튜토리얼 완료,리워드미지급,가입 후 튜토리얼 완료 완료했는데 리워드 누락된 것 같아요. 확인 부탁드립니다.,Match,3,Low
VOC-E69B1CF2,2025-06-18 09:57,U414527,리브메이트,오퍼월,오퍼월 앱 설치,기타,참여 내역 확인은 어디서 하나요?,Match,2,Low
VOC-F2397730,2025-06-28 00:43,U855731,신한SOL,CPA,멀티미션 완료,리워드미지급,광고 참여 완료 후 리워드 미지급입니다. 적립 부탁합니다.,Match,3,Low
VOC-C504A074,2025-06-17 03:47,U166645,네이버페이,CPA,플레이스 검색+저장하기,리워드미지급,포인트가 안 들어왔는데 언제 지급되나요?,Match,3,Low
VOC-D127EAD9,2025-06-21 05:35,U274971,토스,CPA,멀티미션 완료,리워드미지급,"리워드 안 들어왔어요
김철수
010-2222-2222",No_Record,25,Grey
VOC-912C5074,2025-06-22 22:17,U130359,네이버페이,CPA,저장하고 링크 입력하기,리워드미지급,저장하고 링크 입력하기 광고 참여했는데 리워드가 안 들어왔어요.,Match,2,Low
VOC-AA7CDF21,2025-06-27 22:04,U958747,OK캐쉬백,CPA,멀티미션 완료,리워드미지급,"ㅆㅂ 뭐하는 회사야 금감원에 이미 신고했고, 추가로 법적 대응 준비 중입니다. 빨리 해결하세요.",Match,5,Critical
VOC-83CAE603,2025-06-26 16:17,U960408,네이버페이,CPI,신규 앱 체험,광고참여불가,광고 버튼을 눌러도 아무 반응이 없어요.,No_Record,3,Low
VOC-7B3AB910,2025-06-25 23:50,U570735,토스,CPA,앱 설치+실행,리워드미지급,리워드 미적립 문의드립니다. 앱 설치+실행 참여 완료했습니다.,Match,2,Low
VOC-45BAC7DB,2025-06-02 10:25,U380746,신한SOL,CPA,SNS 팔로우,리워드미지급,SNS 팔로우 광고 참여했는데 리워드가 안 들어왔어요.,Match,1,Low
